GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than $100,Margin of Error; Total: - Less than $100,Estimate; Total: - $100 to $199,Margin of Error; Total: - $100 to $199,Estimate; Total: - $200 to $299,Margin of Error; Total: - $200 to $299,Estimate; Total: - $300 to $399,Margin of Error; Total: - $300 to $399,Estimate; Total: - $400 to $499,Margin of Error; Total: - $400 to $499,Estimate; Total: - $500 to $599,Margin of Error; Total: - $500 to $599,Estimate; Total: - $600 to $699,Margin of Error; Total: - $600 to $699,Estimate; Total: - $700 to $799,Margin of Error; Total: - $700 to $799,Estimate; Total: - $800 to $899,Margin of Error; Total: - $800 to $899,Estimate; Total: - $900 to $999,Margin of Error; Total: - $900 to $999,"Estimate; Total: - $1,000 to $1,499","Margin of Error; Total: - $1,000 to $1,499","Estimate; Total: - $1,500 to $1,999","Margin of Error; Total: - $1,500 to $1,999","Estimate; Total: - $2,000 to $2,499","Margin of Error; Total: - $2,000 to $2,499","Estimate; Total: - $2,500 to $2,999","Margin of Error; Total: - $2,500 to $2,999","Estimate; Total: - $3,000 or more","Margin of Error; Total: - $3,000 or more",Estimate; Total: - No cash rent,Margin of Error; Total: - No cash rent
7950000US3600100,3600100,"St. Lawrence County PUMA, New York",40479,1519,85,90,1004,422,4013,633,3525,772,4515,1014,3329,678,3847,729,4109,911,2471,608,2280,632,7105,1231,1710,448,787,307,332,206,461,296,906,328
7950000US3600200,3600200,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",67092,2054,404,230,1500,514,4963,954,4993,933,6091,915,6763,1093,7237,1056,5585,1215,5062,979,4463,851,11538,1364,4312,961,1614,449,527,299,447,235,1593,557
7950000US3600300,3600300,"Warren & Washington Counties PUMA, New York",51614,1736,172,162,668,316,1939,649,4198,1033,3157,676,3649,812,4040,816,3302,752,4314,825,3352,752,12923,1397,5399,931,2226,654,787,378,785,324,703,384
7950000US3600401,3600401,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",44300,1723,27,34,1574,507,2595,632,3751,824,4269,768,4204,828,4687,912,3680,759,3239,868,2220,525,8320,1048,3163,684,984,406,163,91,294,198,1130,485
7950000US3600402,3600402,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",61146,1901,166,134,636,289,2871,780,3705,750,5769,1135,5783,1101,6360,1108,6759,1436,4613,961,4095,795,12163,1331,3461,812,2181,783,546,308,1020,457,1018,463
7950000US3600403,3600403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",42081,1597,163,144,1196,389,2554,565,2885,519,3969,651,3983,706,3804,743,3073,703,3178,697,2887,559,7616,819,3362,599,1338,411,655,295,532,230,886,359
7950000US3600500,3600500,"Jefferson & Lewis Counties PUMA, New York",50860,1725,106,92,1222,516,2871,786,3829,658,4333,794,3693,803,4236,764,3711,655,3532,750,3140,767,11635,1284,5137,1007,1464,430,570,289,399,231,982,393
7950000US3600600,3600600,"Oswego County PUMA, New York",44633,1313,0,192,533,272,2264,685,3652,734,2739,675,3780,620,4521,790,4623,939,2367,641,4038,876,9811,1147,3232,799,1367,578,187,149,402,298,1117,441
7950000US3600701,3600701,"Onondaga County (Central)--Syracuse City PUMA, New York",56295,2177,368,219,940,394,2912,695,3332,729,3946,822,6009,1060,6161,1134,7657,1169,5446,825,5404,1120,10302,1294,2293,658,597,307,151,185,221,230,556,312
